CountryCodes,Country,Continent,Latitude,Longitude,Region Code,Language,CountryCurrency
AFG,Afghanistan,Asia,33.83147477,66.02621828,142,Others,AFN
ALA,≈land Islands,Europe,60.1785,19.9156,150,Others,EUR
ALB, Albania,Europe,41.13180899,20.06882519,150,Others,ALL
DZA,Algeria,Africa,28.16474462,2.63351219,2,Arabic,DZD
ASM, American Samoa,Oceania,-14.30440488,-170.70783,9,Others,USD
AND,Andorra,Europe,42.55527067,1.578938861,150,Others,EUR
AGO,Angola,Africa,-12.3755731,17.59867248,2,Portuguese,AOA
AIA,Anguilla,Americas,18.22301491,-63.06006462,19,Others,XCD
ATA,Antarctica,Antarctica,-80.45066299,21.43458373,1,Others,NON
ATG,Antigua and Barbuda,Americas,17.07120733,-61.79815058,19,English,XCD
ARG,Argentina,Americas,-34.98567234,-65.12225892,19,Spanish,ARS
ARM,Armenia,Asia,40.29202499,44.9429026,142,Others,AMD
ABW,Aruba,Americas,12.5156546,-69.9757266,19,Others,AWG
AUS, Australia,Oceania,-25.40546125,134.2181189,9,English,AUD
AUT,Austria,Europe,47.59086187,14.13920086,150,German,EUR
AZE,Azerbaijan,Asia,40.42670781,47.80669468,142,Others,AZN
BHS,Bahamas,Americas,25.90317684,-78.61665744,19,English,BSD
BHR,Bahrain,Asia,26.05396006,50.53486327,142,Arabic,BHD
BGD,Bangladesh,Asia,23.88207427,90.24107264,142,Others,BDT
BRB,Barbados,Americas,13.184952,-59.55382245,19,English,BBD
BLR,Belarus,Europe,53.53965016,28.04932937,150,Others,BYN
BEL,Belgium,Europe,50.64206011,4.658786236,150,German,EUR
BLZ,Belize,Americas,17.20829609,-88.69988922,19,English,BZD
BEN,Benin,Africa,9.642665015,2.342864021,2,French,XOF
BMU,Bermuda,Americas,32.31605051,-64.73984042,19,Others,BMD
BTN,Bhutan,Asia,27.41443467,90.43085885,142,Others,BTN
BOL,Bolivia ,Americas,-16.71483757,-64.66829843,19,Spanish,BOB
BIH,Bosnia and Herzegovina,Europe,44.16506495,17.79105724,150,Others,BAM
BES,Bonaire,Americas,12.2019,68.2624,19,Others,USD
BWA,Botswana,Africa,-22.17991766,23.81673035,2,English,BWP
BVT,Bouvet Island,Americas,-54.42190835,3.412516924,19,Others,NOK
BRA,Brazil,Americas,-10.77518961,-53.09141767,19,Portuguese,BRL
IOT,British Indian Ocean Territory,Africa,-7.334186151,72.43402037,2,Others,USD
BRN,Brunei Darussalam,Asia,4.439247073,114.4374636,142,Others,BND
BGR,Bulgaria,Europe,42.76069057,25.23572028,150,Others,BGL
BFA,Burkina Faso,Africa,12.27790144,-1.738649343,2,French,XOF
BDI,Burundi,Africa,-3.356208708,29.89200134,2,English,BIF
KHM,Cambodia,Asia,12.71583138,104.9221723,142,Others,KHR
CMR,Cameroon,Africa,5.68036831,12.74068837,2,French,XAF
CAN,Canada,Americas,61.4126317,-98.23039804,19,English,CAD
CPV,Cabo Verde,Africa,17.52133998,-24.58506404,2,Portuguese,CVE
CYM,Cayman Islands,Americas,19.31065556,-81.20426038,19,Others,KYD
CAF,Central African Republic,Africa,6.570747926,20.48450088,2,French,XAF
TCD,Chad,Africa,15.35740495,18.66399556,2,French,XAF
CHL,Chile,Americas,-37.68386885,-71.33321859,19,Spanish,CLP
CHN,China,Asia,36.67464756,103.8680636,142,Others,CNY
CXR, Christmas Island,Oceania,-10.44411458,105.7036972,9,Others,AUD
CCK, Cocos Islands,Oceania,-12.17127014,96.83690355,9,Others,AUD
COL,Colombia,Americas,3.897367041,-73.07080696,19,Spanish,COP
COM,Comoros,Africa,-11.42407818,42.8293551,2,French,KMF
COG,Congo,Africa,-0.83949506,15.22629207,2,French,XAF
COD,Democratic Republic of Congo,Africa,-2.876807692,23.65623593,2,Others,CDF
COK,Cook Islands,Oceania,-20.14332999,-159.7599857,9,Others,NZD
CRI,Costa Rica,Americas,9.960735487,-84.18254176,19,Spanish,CRC
CIV,Cote d Ivoire,Africa,7.630087005,-5.552402136,2,French,XOF
HRV,Croatia,Europe,45.18877041,16.42353441,150,Others,HRK
CUB, Cuba,Americas,21.6053525,-78.90713844,19,Spanish,CUP
CUW,Curacao,Americas,-68.99,12.1696,19,Others,ANG
CYP,Cyprus,Asia,35.01941238,33.1666508,142,Others,EUR
CZE,Czechia,Europe,49.74240068,15.34943448,150,Others,CZK
DNK,Denmark,Europe,56.06439188,9.942213684,150,Others,DKK
DJI,Djibouti,Africa,11.74658946,42.58022315,2,French,DJF
DMA,Dominica,Americas,15.42468124,-61.36047599,19,English,XCD
DOM,Dominican Republic,Americas,18.89453409,-70.49429315,19,Others,DOP
ECU,Ecuador,Americas,-1.464036749,-78.05190165,19,Spanish,USD
EGY,Egypt,Africa,26.55281781,29.78562814,2,Others,EGP
SLV,El Salvador,Americas,13.72764125,-88.86315324,19,Spanish,USD
GNQ,Equatorial Guinea,Africa,1.412936146,10.61572825,2,French,XAF
ERI,Eritrea,Africa,15.37695899,38.82792338,2,Others,ERN
EST,Estonia,Europe,58.70758667,26.168216,150,Others,EUR
ETH,Ethiopia,Africa,8.633664665,39.61587345,2,Others,ETB
FLK,Falkland Islands ,Americas,-51.7638724,-55.8098409,19,Others,FKP
FRO,Faroe Islands,Europe,61.64924758,-6.548553177,150,Others,DKK
